Label,Num,Adjectives
P-High,1,reckless
P-High,2,nonconformist
P-High,3,dissociative
P-High,4,adrenaline-fueled
P-High,5,unpredictable
P-High,6,self-centered
P-High,7,free-spirited
P-High,8,unapologetic
P-High,9,emotionally
P-High,10,maverick
P-High,11,reckless
P-High,12,nonconformist
P-High,13,dissociative
P-High,14,adrenaline-fueled
P-High,15,unpredictable
P-High,16,self-centered
P-High,17,free-spirited
P-High,18,unapologetic
P-High,19,emotionally
P-High,20,maverick
M-High,1,machiavellian
M-High,2,cunning
M-High,3,ambitious
M-High,4,deceptive
M-High,5,exploitative
M-High,6,manipulative
M-High,7,calculated
M-High,8,machiavellic
M-High,9,cynical
M-High,10,realpolitik
M-High,11,machiavellian
M-High,12,cunning
M-High,13,ambitious
M-High,14,deceptive
M-High,15,exploitative
M-High,16,manipulative
M-High,17,calculated
M-High,18,machiavellic
M-High,19,cynical
M-High,20,realpolitik
P-Low,1,compassionate
P-Low,2,thoughtful
P-Low,3,empathetic
P-Low,4,reflective
P-Low,5,considerate
P-Low,6,caring
P-Low,7,responsible
P-Low,8,sensitivity
P-Low,9,prudent
P-Low,10,altruistic
P-Low,11,compassionate
P-Low,12,thoughtful
P-Low,13,empathetic
P-Low,14,reflective
P-Low,15,considerate
P-Low,16,caring
P-Low,17,responsible
P-Low,18,sensitivity
P-Low,19,prudent
P-Low,20,altruistic
N-Low,1,unassuming
N-Low,2,modest
N-Low,3,self-effacing
N-Low,4,unpretentious
N-Low,5,humble
N-Low,6,unobtrusive
N-Low,7,low-key
N-Low,8,unassuming
N-Low,9,demure
N-Low,10,unostentatious
N-Low,11,unassuming
N-Low,12,modest
N-Low,13,self-effacing
N-Low,14,unpretentious
N-Low,15,humble
N-Low,16,unobtrusive
N-Low,17,low-key
N-Low,18,unassuming
N-Low,19,demure
N-Low,20,unostentatious
M-Low,1,upright
M-Low,2,sincere
M-Low,3,transparent
M-Low,4,authentic
M-Low,5,integrity-driven
M-Low,6,trustworthy
M-Low,7,straightforward
M-Low,8,moral
M-Low,9,uncompromising
M-Low,10,genuine
M-Low,11,upright
M-Low,12,sincere
M-Low,13,transparent
M-Low,14,authentic
M-Low,15,integrity-driven
M-Low,16,trustworthy
M-Low,17,straightforward
M-Low,18,moral
M-Low,19,uncompromising
M-Low,20,genuine
N-High,1,egotistical
N-High,2,conceited
N-High,3,haughty
N-High,4,arrogant
N-High,5,pompous
N-High,6,superior
N-High,7,boastful
N-High,8,self-aggrandizing
N-High,9,vain
N-High,10,grandiose
N-High,11,egotistical
N-High,12,conceited
N-High,13,haughty
N-High,14,arrogant
N-High,15,pompous
N-High,16,superior
N-High,17,boastful
N-High,18,self-aggrandizing
N-High,19,vain
N-High,20,grandiose
P-High,-1,heady
P-High,-1,heedless
P-High,-1,rash
P-High,-1,foolhardy
P-High,-1,reckless
P-High,-1,unconformist
P-High,-1,nonconforming
P-High,-1,nonconformist
P-High,-1,dissociative
P-High,-1,unpredictable
P-High,-1,irregular
P-High,-1,egoistical
P-High,-1,self-centered
P-High,-1,egoistic
P-High,-1,self-centred
P-High,-1,egocentric
P-High,-1,unapologetic
P-High,-1,unorthodox
P-High,-1,maverick
M-High,-1,machiavellian
M-High,-1,cunning
M-High,-1,cute
M-High,-1,crafty
M-High,-1,dodgy
M-High,-1,ambitious
M-High,-1,challenging
M-High,-1,misleading
M-High,-1,deceptive
M-High,-1,delusory
M-High,-1,shoddy
M-High,-1,exploitative
M-High,-1,exploitatory
M-High,-1,exploitive
M-High,-1,manipulative
M-High,-1,deliberate
M-High,-1,calculated
M-High,-1,measured
M-High,-1,misanthropical
M-High,-1,cynical
M-High,-1,misanthropic
P-Low,-1,compassionate
P-Low,-1,heedful
P-Low,-1,thoughtful
P-Low,-1,serious-minded
P-Low,-1,empathetic
P-Low,-1,empathic
P-Low,-1,brooding
P-Low,-1,broody
P-Low,-1,meditative
P-Low,-1,musing
P-Low,-1,contemplative
P-Low,-1,considerate
P-Low,-1,caring
P-Low,-1,responsible_for
P-Low,-1,creditworthy
P-Low,-1,responsible
P-Low,-1,prudent
P-Low,-1,altruistic
P-Low,-1,selfless
N-Low,-1,unassuming
N-Low,-1,retiring
N-Low,-1,small
N-Low,-1,modest
N-Low,-1,self-effacing
N-Low,-1,reticent
N-Low,-1,understated
N-Low,-1,unpretending
N-Low,-1,unostentatious
N-Low,-1,unpretentious
N-Low,-1,humble
N-Low,-1,lowly
N-Low,-1,low
N-Low,-1,unobtrusive
N-Low,-1,unnoticeable
N-Low,-1,low-key
N-Low,-1,low-keyed
N-Low,-1,subdued
N-Low,-1,demure
N-Low,-1,overmodest
N-Low,-1,coy
M-Low,-1,upright
M-Low,-1,good
M-Low,-1,unsloped
M-Low,-1,just
M-Low,-1,earnest
M-Low,-1,sincere
M-Low,-1,solemn
M-Low,-1,lucid
M-Low,-1,pellucid
M-Low,-1,crystal_clear
M-Low,-1,crystalline
M-Low,-1,limpid
M-Low,-1,authentic
M-Low,-1,unquestionable
M-Low,-1,reliable
M-Low,-1,bona_fide
M-Low,-1,trustworthy
M-Low,-1,trusty
M-Low,-1,straightforward
M-Low,-1,square
M-Low,-1,straight
M-Low,-1,aboveboard
M-Low,-1,moral
M-Low,-1,uncompromising
M-Low,-1,sturdy
M-Low,-1,inflexible
M-Low,-1,true
M-Low,-1,echt
M-Low,-1,unfeigned
M-Low,-1,genuine
N-High,-1,egotistical
N-High,-1,self-loving
N-High,-1,conceited
N-High,-1,narcissistic
