Label,Num,Adjectives
I,1,reserved
I,2,solitary
I,3,sensitized
I,4,reflective
I,5,quiet
I,6,sensory-sensitive
I,7,introverted
I,8,reserved
I,9,serenely
I,10,peaceful
I,11,reserved
I,12,solitary
I,13,sensitized
I,14,reflective
I,15,quiet
I,16,sensory-sensitive
I,17,introverted
I,18,reserved
I,19,serenely
I,20,peaceful
J,1,analytical
J,2,rigorous
J,3,systematic
J,4,methodical
J,5,structured
J,6,precise
J,7,predictive
J,8,organized
J,9,clarity-driven
J,10,closure-oriented
J,11,analytical
J,12,rigorous
J,13,systematic
J,14,methodical
J,15,structured
J,16,precise
J,17,predictive
J,18,organized
J,19,clarity-driven
J,20,closure-oriented
N,1,visionary
N,2,insightful
N,3,mystical
N,4,futuristic
N,5,symbolic
N,6,enigmatic
N,7,poetic
N,8,symbolist
N,9,intuitive
N,10,symbolically-minded
N,11,visionary
N,12,insightful
N,13,mystical
N,14,futuristic
N,15,symbolic
N,16,enigmatic
N,17,poetic
N,18,symbolist
N,19,intuitive
N,20,symbolically-minded
E,1,sociable
E,2,vibrant
E,3,enthusiastic
E,4,excitable
E,5,talkative
E,6,lively
E,7,outgoing
E,8,charismatic
E,9,dynamic
E,10,energizing
E,11,sociable
E,12,vibrant
E,13,enthusiastic
E,14,excitable
E,15,talkative
E,16,lively
E,17,outgoing
E,18,charismatic
E,19,dynamic
E,20,energizing
S,1,perceptive
S,2,mindful
S,3,astute
S,4,detail-oriented
S,5,pragmatic
S,6,realistic
S,7,down-to-business
S,8,practical-minded
S,9,grounded
S,10,observant
S,11,perceptive
S,12,mindful
S,13,astute
S,14,detail-oriented
S,15,pragmatic
S,16,realistic
S,17,down-to-business
S,18,practical-minded
S,19,grounded
S,20,observant
P,1,opportunistic
P,2,adaptable
P,3,nimble
P,4,flexible-minded
P,5,nonconformist
P,6,open-minded
P,7,resourceful
P,8,thriving
P,9,curious
P,10,innovative
P,11,opportunistic
P,12,adaptable
P,13,nimble
P,14,flexible-minded
P,15,nonconformist
P,16,open-minded
P,17,resourceful
P,18,thriving
P,19,curious
P,20,innovative
T,1,analytical
T,2,objective
T,3,rational
T,4,efficient
T,5,pragmatic
T,6,logical
T,7,independent
T,8,systematic
T,9,decisive
T,10,strategic
T,11,analytical
T,12,objective
T,13,rational
T,14,efficient
T,15,pragmatic
T,16,logical
T,17,independent
T,18,systematic
T,19,decisive
T,20,strategic
F,1,sympathetic
F,2,compassionate
F,3,sensitive
F,4,emotive
F,5,sympathetic
F,6,empathetic
F,7,cooperative
F,8,harmonious
F,9,amiable
F,10,welcoming
F,11,sympathetic
F,12,compassionate
F,13,sensitive
F,14,emotive
F,15,sympathetic
F,16,empathetic
F,17,cooperative
F,18,harmonious
F,19,amiable
F,20,welcoming
