Label,Num,Adjectives
I,1,soleful
I,2,sensitive
I,3,reserved
I,4,delicate
I,5,reclusive
I,6,imaginative
I,7,quietly
I,8,overwhelmed
I,9,perceptive
I,10,enigmatic
I,11,soleful
I,12,sensitive
I,13,reserved
I,14,delicate
I,15,reclusive
I,16,imaginative
I,17,quietly
I,18,overwhelmed
I,19,perceptive
I,20,enigmatic
J,1,methodical
J,2,fastidious
J,3,systematic
J,4,analytical
J,5,discerning
J,6,precise
J,7,structured
J,8,rigorous
J,9,comprehensive
J,10,efficient
J,11,methodical
J,12,fastidious
J,13,systematic
J,14,analytical
J,15,discerning
J,16,precise
J,17,structured
J,18,rigorous
J,19,comprehensive
J,20,efficient
N,1,enigmatic
N,2,visionary
N,3,whimsical
N,4,perceptive
N,5,dreamy
N,6,introspective
N,7,adventurous
N,8,mystical
N,9,flexible
N,10,esoteric
N,11,enigmatic
N,12,visionary
N,13,whimsical
N,14,perceptive
N,15,dreamy
N,16,introspective
N,17,adventurous
N,18,mystical
N,19,flexible
N,20,esoteric
E,1,vibrant
E,2,social
E,3,enthusiastic
E,4,outgoing
E,5,energetic
E,6,chatty
E,7,adventurous
E,8,confident
E,9,lively
E,10,charismatic
E,11,vibrant
E,12,social
E,13,enthusiastic
E,14,outgoing
E,15,energetic
E,16,chatty
E,17,adventurous
E,18,confident
E,19,lively
E,20,charismatic
S,1,attentive
S,2,perceptive
S,3,pragmatic
S,4,down-to-earth
S,5,discerning
S,6,methodical
S,7,reflective
S,8,sensible
S,9,analytical
S,10,proactive
S,11,attentive
S,12,perceptive
S,13,pragmatic
S,14,down-to-earth
S,15,discerning
S,16,methodical
S,17,reflective
S,18,sensible
S,19,analytical
S,20,proactive
P,1,adaptable
P,2,resourceful
P,3,agile
P,4,innovative
P,5,perceptive
P,6,flexible
P,7,spontaneous
P,8,curious
P,9,nonconformist
P,10,open-minded
P,11,adaptable
P,12,resourceful
P,13,agile
P,14,innovative
P,15,perceptive
P,16,flexible
P,17,spontaneous
P,18,curious
P,19,nonconformist
P,20,open-minded
T,1,analytical
T,2,dispassionate
T,3,rational
T,4,efficient
T,5,detached
T,6,logical
T,7,unemotional
T,8,cerebral
T,9,pragmatic
T,10,impartial
T,11,analytical
T,12,dispassionate
T,13,rational
T,14,efficient
T,15,detached
T,16,logical
T,17,unemotional
T,18,cerebral
T,19,pragmatic
T,20,impartial
F,1,empathetic
F,2,compassionate
F,3,sensitive
F,4,expressive
F,5,attuned
F,6,cooperative
F,7,harmonious
F,8,nurturing
F,9,introspective
F,10,authentic
F,11,empathetic
F,12,compassionate
F,13,sensitive
F,14,expressive
F,15,attuned
F,16,cooperative
F,17,harmonious
F,18,nurturing
F,19,introspective
F,20,authentic
