Label,Num,Adjectives
I,1,calm
I,2,reflective
I,3,reserved
I,4,quiet
I,5,sensitive
I,6,thoughtful
I,7,peaceful
I,8,serene
I,9,solitary
I,10,delicate
I,11,calm
I,12,reflective
I,13,reserved
I,14,quiet
I,15,sensitive
I,16,thoughtful
I,17,peaceful
I,18,serene
I,19,solitary
I,20,delicate
J,1,analytical
J,2,methodical
J,3,disciplined
J,4,systematic
J,5,pragmatic
J,6,conscientious
J,7,structured
J,8,predictive
J,9,efficient
J,10,consistent
J,11,analytical
J,12,methodical
J,13,disciplined
J,14,systematic
J,15,pragmatic
J,16,conscientious
J,17,structured
J,18,predictive
J,19,efficient
J,20,consistent
N,1,visionary
N,2,insightful
N,3,curious
N,4,perceptive
N,5,enthusiastic
N,6,introspective
N,7,futuristic
N,8,creative
N,9,philosophical
N,10,adventurous
N,11,visionary
N,12,insightful
N,13,curious
N,14,perceptive
N,15,enthusiastic
N,16,introspective
N,17,futuristic
N,18,creative
N,19,philosophical
N,20,adventurous
E,1,outgoing
E,2,social
E,3,chatty
E,4,vibrant
E,5,energizing
E,6,enthusiastic
E,7,excitable
E,8,talkative
E,9,lively
E,10,radiant
E,11,outgoing
E,12,social
E,13,chatty
E,14,vibrant
E,15,energizing
E,16,enthusiastic
E,17,excitable
E,18,talkative
E,19,lively
E,20,radiant
S,1,perceptive
S,2,detail-oriented
S,3,pragmatic
S,4,practical
S,5,grounded
S,6,reflective
S,7,analytical
S,8,experienced
S,9,observant
S,10,realistic
S,11,perceptive
S,12,detail-oriented
S,13,pragmatic
S,14,practical
S,15,grounded
S,16,reflective
S,17,analytical
S,18,experienced
S,19,observant
S,20,realistic
P,1,opportunistic
P,2,adaptable
P,3,resourceful
P,4,lively
P,5,curious
P,6,open-minded
P,7,nimble
P,8,dynamic
P,9,flexible
P,10,adventurous
P,11,opportunistic
P,12,adaptable
P,13,resourceful
P,14,lively
P,15,curious
P,16,open-minded
P,17,nimble
P,18,dynamic
P,19,flexible
P,20,adventurous
T,1,analytical
T,2,logical
T,3,rational
T,4,objective
T,5,efficient
T,6,dispassionate
T,7,pragmatic
T,8,disciplined
T,9,methodical
T,10,unemotional
T,11,analytical
T,12,logical
T,13,rational
T,14,objective
T,15,efficient
T,16,dispassionate
T,17,pragmatic
T,18,disciplined
T,19,methodical
T,20,unemotional
F,1,sympathetic
F,2,emotionally
F,3,sensitive
F,4,compassionate
F,5,diplomatic
F,6,harmonious
F,7,cooperative
F,8,sympathetic
F,9,emotional
F,10,social
F,11,sympathetic
F,12,emotionally
F,13,sensitive
F,14,compassionate
F,15,diplomatic
F,16,harmonious
F,17,cooperative
F,18,sympathetic
F,19,emotional
F,20,social
I,-1,unagitated
I,-1,serene
I,-1,calm
I,-1,tranquil
I,-1,contemplative
I,-1,meditative
I,-1,brooding
I,-1,musing
I,-1,broody
I,-1,reserved
I,-1,restrained
I,-1,hushed
I,-1,quiet
I,-1,sensitive
I,-1,sensible
I,-1,serious-minded
I,-1,thoughtful
I,-1,heedful
I,-1,passive
I,-1,peaceful
I,-1,peaceable
I,-1,nonsocial
I,-1,lone
I,-1,nongregarious
I,-1,lonely
I,-1,solitary
I,-1,frail
I,-1,delicate
I,-1,fragile
J,-1,analytical
J,-1,analytic
J,-1,methodical
J,-1,disciplined
J,-1,systematic
J,-1,taxonomical
J,-1,taxonomic
J,-1,matter-of-fact
J,-1,pragmatical
J,-1,pragmatic
J,-1,conscientious
J,-1,painstaking
J,-1,scrupulous
J,-1,integrated
J,-1,structured
J,-1,predictive
J,-1,prognosticative
J,-1,prognostic
J,-1,effective
J,-1,efficient
J,-1,reproducible
J,-1,consistent
J,-1,coherent
N,-1,airy
N,-1,windy
N,-1,visionary
N,-1,impractical
N,-1,laputan
N,-1,insightful
N,-1,curious
N,-1,queer
N,-1,odd
N,-1,peculiar
N,-1,funny
N,-1,perceptive
N,-1,enthusiastic
N,-1,introspective
N,-1,self-examining
N,-1,introverted
N,-1,futuristic
N,-1,futurist
N,-1,originative
N,-1,creative
N,-1,philosophic
N,-1,philosophical
N,-1,adventuresome
N,-1,adventurous
E,-1,extroverted
E,-1,outgoing
E,-1,forthcoming
E,-1,social
E,-1,societal
E,-1,talkative
E,-1,gabby
E,-1,loquacious
E,-1,chatty
E,-1,garrulous
E,-1,vibrant
E,-1,vivacious
E,-1,energizing
E,-1,energising
E,-1,kinetic
E,-1,enthusiastic
E,-1,excitable
E,-1,irritable
E,-1,lively
E,-1,racy
E,-1,alert
E,-1,brisk
E,-1,refulgent
E,-1,radiant
E,-1,beamy
E,-1,beaming
E,-1,effulgent
S,-1,perceptive
S,-1,matter-of-fact
S,-1,pragmatical
S,-1,pragmatic
S,-1,hardheaded
S,-1,hard-nosed
S,-1,practical
S,-1,contemplative
S,-1,meditative
S,-1,brooding
S,-1,musing
S,-1,broody
S,-1,analytical
S,-1,analytic
S,-1,experient
S,-1,experienced
S,-1,observant
S,-1,law-abiding
S,-1,observing
S,-1,naturalistic
S,-1,realistic
P,-1,timeserving
P,-1,opportunist
P,-1,opportunistic
P,-1,adaptable
P,-1,resourceful
P,-1,lively
P,-1,racy
P,-1,alert
P,-1,brisk
P,-1,curious
P,-1,queer
P,-1,odd
P,-1,peculiar
P,-1,funny
P,-1,open-minded
P,-1,agile
P,-1,nimble
P,-1,quick
P,-1,spry
P,-1,dynamical
P,-1,dynamic
P,-1,active
P,-1,elastic
P,-1,flexible
P,-1,flexile
P,-1,adventuresome
P,-1,adventurous
T,-1,analytical
T,-1,analytic
T,-1,logical
T,-1,consistent
T,-1,coherent
T,-1,legitimate
T,-1,intellectual
T,-1,noetic
T,-1,rational
T,-1,accusative
T,-1,objective
T,-1,nonsubjective
T,-1,effective
T,-1,efficient
T,-1,dispassionate
T,-1,cold-eyed
T,-1,matter-of-fact
T,-1,pragmatical
T,-1,pragmatic
T,-1,disciplined
T,-1,methodical
T,-1,restrained
T,-1,reticent
T,-1,unemotional
F,-1,benevolent
F,-1,kindly
F,-1,sympathetic
F,-1,charitable
F,-1,sensitive
F,-1,sensible
F,-1,compassionate
F,-1,diplomatical
F,-1,diplomatic
F,-1,harmonious
F,-1,proportionate
F,-1,symmetrical
F,-1,conjunctive
F,-1,conjunct
F,-1,concerted
F,-1,cooperative
F,-1,aroused
F,-1,emotional
F,-1,social
F,-1,societal
I-Low,-2,stormy
I-Low,-2,nonreflective
I-Low,-2,unreserved
I-Low,-2,unquiet
I-Low,-2,noisy
I-Low,-2,active
I-Low,-2,insensible
I-Low,-2,insensitive
I-Low,-2,heedless
I-Low,-2,thoughtless
I-Low,-2,unpeaceful
I-Low,-2,rugged
J-Low,-2,synthetic
J-Low,-2,unsystematic
J-Low,-2,unconscientious
J-Low,-2,unstructured
J-Low,-2,inefficient
J-Low,-2,incoherent
J-Low,-2,inconsistent
J-Low,-2,unreproducible
N-Low,-2,incurious
N-Low,-2,unperceptive
N-Low,-2,unenthusiastic
N-Low,-2,extrospective
N-Low,-2,uncreative
N-Low,-2,unadventurous
E-Low,-2,incoming
E-Low,-2,unsocial
E-Low,-2,unenthusiastic
E-Low,-2,unexcitable
E-Low,-2,dull
S-Low,-2,unperceptive
S-Low,-2,impractical
S-Low,-2,nonreflective
S-Low,-2,synthetic
S-Low,-2,inexperienced
S-Low,-2,unrealistic
P-Low,-2,unadaptable
P-Low,-2,dull
P-Low,-2,incurious
P-Low,-2,undynamic
P-Low,-2,stative
P-Low,-2,inflexible
P-Low,-2,uncompromising
P-Low,-2,unadventurous
T-Low,-2,synthetic
T-Low,-2,incoherent
T-Low,-2,illogical
T-Low,-2,irrational
T-Low,-2,subjective
T-Low,-2,inefficient
T-Low,-2,emotional
F-Low,-2,unsympathetic
F-Low,-2,insensible
F-Low,-2,insensitive
F-Low,-2,uncompassionate
F-Low,-2,undiplomatic
F-Low,-2,inharmonious
F-Low,-2,uncooperative
F-Low,-2,unemotional
F-Low,-2,cerebral
F-Low,-2,unsocial
I-Low,-2,agitated
I-Low,-2,unrestrained
I-Low,-2,unreasonable
I-Low,-2,robust
J-Low,-2,unscrupulous
J-Low,-2,segregated
J-Low,-2,nonintegrated
J-Low,-2,ineffective
N-Low,-2,practical
N-Low,-2,even
E-Low,-2,introspective
E-Low,-2,unalert
P-Low,-2,unalert
P-Low,-2,even
P-Low,-2,extinct
P-Low,-2,inactive
P-Low,-2,quiet
P-Low,-2,passive
P-Low,-2,dormant
P-Low,-2,inelastic
T-Low,-2,inconsistent
T-Low,-2,unreproducible
T-Low,-2,illegitimate
T-Low,-2,nonintellectual
T-Low,-2,ineffective
T-Low,-2,unrestrained
F-Low,-2,uncharitable
F-Low,-2,unreasonable
F-Low,-2,disproportionate
F-Low,-2,asymmetrical
F-Low,-2,disjunctive
F-Low,-2,disjunct
