Label,Num,Adjectives
E-Low,1,reticent
E-Low,2,introverted
E-Low,3,reserved
E-Low,4,shy
E-Low,5,cautious
E-Low,6,reflective
E-Low,7,unassuming
E-Low,8,low-key
E-Low,9,muted
E-Low,10,solitary
E-Low,11,reticent
E-Low,12,introverted
E-Low,13,reserved
E-Low,14,shy
E-Low,15,cautious
E-Low,16,reflective
E-Low,17,unassuming
E-Low,18,low-key
E-Low,19,muted
E-Low,20,solitary
C-High,1,methodical
C-High,2,punctual
C-High,3,diligent
C-High,4,thorough
C-High,5,disciplined
C-High,6,persevering
C-High,7,meticulous
C-High,8,resourceful
C-High,9,committed
C-High,10,strategic
C-High,11,methodical
C-High,12,punctual
C-High,13,diligent
C-High,14,thorough
C-High,15,disciplined
C-High,16,persevering
C-High,17,meticulous
C-High,18,resourceful
C-High,19,committed
C-High,20,strategic
O-Low,1,conventional
O-Low,2,conservative
O-Low,3,traditionalist
O-Low,4,staid
O-Low,5,unadventurous
O-Low,6,settled
O-Low,7,established
O-Low,8,stodgy
O-Low,9,orthodox
O-Low,10,institutional
O-Low,11,conventional
O-Low,12,conservative
O-Low,13,traditionalist
O-Low,14,staid
O-Low,15,unadventurous
O-Low,16,settled
O-Low,17,established
O-Low,18,stodgy
O-Low,19,orthodox
O-Low,20,institutional
A-Low,1,confrontational
A-Low,2,persevering
A-Low,3,blunt
A-Low,4,tenacious
A-Low,5,critical
A-Low,6,ambitious
A-Low,7,uncompromising
A-Low,8,assertive
A-Low,9,inquisitive
A-Low,10,unapologetic
A-Low,11,confrontational
A-Low,12,persevering
A-Low,13,blunt
A-Low,14,tenacious
A-Low,15,critical
A-Low,16,ambitious
A-Low,17,uncompromising
A-Low,18,assertive
A-Low,19,inquisitive
A-Low,20,unapologetic
E-High,1,vivacious
E-High,2,extroverted
E-High,3,ebullient
E-High,4,sociable
E-High,5,outgoing
E-High,6,exuberant
E-High,7,vibrant
E-High,8,boisterous
E-High,9,charismatic
E-High,10,daring
E-High,11,vivacious
E-High,12,extroverted
E-High,13,ebullient
E-High,14,sociable
E-High,15,outgoing
E-High,16,exuberant
E-High,17,vibrant
E-High,18,boisterous
E-High,19,charismatic
E-High,20,daring
O-High,1,visionary
O-High,2,inquisitive
O-High,3,creative
O-High,4,enthusiastic
O-High,5,innovative
O-High,6,artistic
O-High,7,speculative
O-High,8,intellectual
O-High,9,adventurous
O-High,10,philosophical
O-High,11,visionary
O-High,12,inquisitive
O-High,13,creative
O-High,14,enthusiastic
O-High,15,innovative
O-High,16,artistic
O-High,17,speculative
O-High,18,intellectual
O-High,19,adventurous
O-High,20,philosophical
A-High,1,affable
A-High,2,compassionate
A-High,3,empathetic
A-High,4,nurturing
A-High,5,sympathetic
A-High,6,tactful
A-High,7,warm-hearted
A-High,8,caring
A-High,9,gentle
A-High,10,sincere
A-High,11,affable
A-High,12,compassionate
A-High,13,empathetic
A-High,14,nurturing
A-High,15,sympathetic
A-High,16,tactful
A-High,17,warm-hearted
A-High,18,caring
A-High,19,gentle
A-High,20,sincere
N-Low,1,serenene
N-Low,2,philosophical
N-Low,3,unfazed
N-Low,4,optimistic
N-Low,5,calmative
N-Low,6,reflective
N-Low,7,composed
N-Low,8,even-keel
N-Low,9,resilient
N-Low,10,sanguine
N-Low,11,serenene
N-Low,12,philosophical
N-Low,13,unfazed
N-Low,14,optimistic
N-Low,15,calmative
N-Low,16,reflective
N-Low,17,composed
N-Low,18,even-keel
N-Low,19,resilient
N-Low,20,sanguine
C-Low,1,spontaneous
C-Low,2,impetuous
C-Low,3,disorganized
C-Low,4,emotionally
C-Low,5,distractible
C-Low,6,unpredictable
C-Low,7,reckless
C-Low,8,indecisive
C-Low,9,haphazard
C-Low,10,unstructured
C-Low,11,spontaneous
C-Low,12,impetuous
C-Low,13,disorganized
C-Low,14,emotionally
C-Low,15,distractible
C-Low,16,unpredictable
C-Low,17,reckless
C-Low,18,indecisive
C-Low,19,haphazard
C-Low,20,unstructured
N-High,1,volatile
N-High,2,sensitve
N-High,3,melancholic
N-High,4,irritable
N-High,5,emotionally
N-High,6,dysregulated
N-High,7,hypersensitive
N-High,8,easily
N-High,9,pain-avoidant
N-High,10,emotionally
N-High,11,volatile
N-High,12,sensitve
N-High,13,melancholic
N-High,14,irritable
N-High,15,emotionally
N-High,16,dysregulated
N-High,17,hypersensitive
N-High,18,easily
N-High,19,pain-avoidant
N-High,20,emotionally
